,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
262,2003 to 2004,"River, Lake and Ocean",84577.0,84577.0,0.0,102374.0,60.0
263,2003 to 2004,Salt flat,22.0,22.0,0.0,166.0,3.0
264,2003 to 2004,Urban Infrastructure,3274.0,3274.0,0.0,8.0,1.0
265,2003 to 2004,Wetland,0.0,0.0,0.0,0.0,-0.0
266,2004 to 2005,Agriculture,294878.0,294878.0,0.0,76253.0,893.0
267,2004 to 2005,Beach and Dune,48.0,48.0,0.0,27.0,7.0
268,2004 to 2005,Forest Plantation,1290.0,0.0,1290.0,1575.0,420.0
269,2004 to 2005,Grassland,75549.0,75549.0,0.0,258433.0,12280.0
270,2004 to 2005,Mining,205.0,205.0,0.0,33.0,5.0
271,2004 to 2005,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
272,2004 to 2005,Natural Forest,1947497.0,0.0,1947497.0,899329.0,1707.0
273,2004 to 2005,Non Observed,20.0,0.0,20.0,268.0,31.0
274,2004 to 2005,Other Non Vegetated Area,524.0,524.0,0.0,291.0,1.0
275,2004 to 2005,Pasture,1572575.0,1572575.0,0.0,780516.0,219389.0
276,2004 to 2005,"River, Lake and Ocean",2625.0,2625.0,0.0,155617.0,6959.0
277,2004 to 2005,Salt flat,95.0,0.0,95.0,167.0,0.0
278,2004 to 2005,Urban Infrastructure,2499.0,2499.0,0.0,9.0,0.0
279,2004 to 2005,Wetland,0.0,0.0,0.0,0.0,0.0
280,2005 to 2006,Agriculture,99420.0,99420.0,0.0,83115.0,362.0
281,2005 to 2006,Beach and Dune,25.0,0.0,25.0,49.0,2.0
282,2005 to 2006,Forest Plantation,11618.0,11618.0,0.0,792.0,0.0
283,2005 to 2006,Grassland,73435.0,0.0,73435.0,264103.0,3836.0
284,2005 to 2006,Mining,396.0,396.0,0.0,21.0,2.0
285,2005 to 2006,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
286,2005 to 2006,Natural Forest,1431952.0,0.0,1431952.0,949412.0,21854.0
287,2005 to 2006,Non Observed,94.0,0.0,94.0,212.0,19.0
288,2005 to 2006,Other Non Vegetated Area,546.0,0.0,546.0,536.0,52.0
289,2005 to 2006,Pasture,1375296.0,1375296.0,0.0,824041.0,87991.0
290,2005 to 2006,"River, Lake and Ocean",15707.0,15707.0,0.0,126940.0,24220.0
291,2005 to 2006,Salt flat,1252.0,1252.0,0.0,63.0,5.0
292,2005 to 2006,Urban Infrastructure,2364.0,2364.0,0.0,8.0,2.0
293,2005 to 2006,Wetland,0.0,0.0,0.0,0.0,0.0
294,2006 to 2007,Agriculture,88141.0,88141.0,0.0,79271.0,2057.0
295,2006 to 2007,Beach and Dune,14.0,0.0,14.0,39.0,2.0
296,2006 to 2007,Forest Plantation,30.0,0.0,30.0,2327.0,613.0
297,2006 to 2007,Grassland,185885.0,185885.0,0.0,266882.0,1496.0
298,2006 to 2007,Mining,477.0,477.0,0.0,25.0,4.0
299,2006 to 2007,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
300,2006 to 2007,Natural Forest,1303843.0,0.0,1303843.0,857673.0,642.0
301,2006 to 2007,Non Observed,41.0,41.0,0.0,215.0,82.0
302,2006 to 2007,Other Non Vegetated Area,2601.0,2601.0,0.0,509.0,1.0
303,2006 to 2007,Pasture,1040604.0,1040604.0,0.0,712682.0,191781.0
304,2006 to 2007,"River, Lake and Ocean",20553.0,0.0,20553.0,144732.0,36992.0
305,2006 to 2007,Salt flat,929.0,929.0,0.0,105.0,-0.0
306,2006 to 2007,Urban Infrastructure,5763.0,5763.0,0.0,6.0,3.0
307,2006 to 2007,Wetland,0.0,0.0,0.0,0.0,0.0
308,2007 to 2008,Agriculture,177513.0,177513.0,0.0,66970.0,162.0
309,2007 to 2008,Beach and Dune,60.0,0.0,60.0,34.0,0.0
310,2007 to 2008,Forest Plantation,860.0,0.0,860.0,1782.0,423.0
311,2007 to 2008,Grassland,198358.0,0.0,198358.0,267017.0,36906.0
312,2007 to 2008,Mining,436.0,436.0,0.0,40.0,3.0
313,2007 to 2008,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
314,2007 to 2008,Natural Forest,708445.0,0.0,708445.0,1164470.0,1296.0
315,2007 to 2008,Non Observed,81.0,0.0,81.0,223.0,27.0
316,2007 to 2008,Other Non Vegetated Area,2541.0,0.0,2541.0,569.0,0.0
317,2007 to 2008,Pasture,614172.0,614172.0,0.0,1007416.0,140179.0
318,2007 to 2008,"River, Lake and Ocean",114564.0,114564.0,0.0,128530.0,18.0
319,2007 to 2008,Salt flat,130.0,0.0,130.0,222.0,10.0
320,2007 to 2008,Urban Infrastructure,3789.0,3789.0,0.0,11.0,0.0
321,2007 to 2008,Wetland,0.0,0.0,0.0,0.0,0.0
322,2008 to 2009,Agriculture,150752.0,150752.0,0.0,118479.0,347.0
323,2008 to 2009,Beach and Dune,55.0,0.0,55.0,43.0,0.0
324,2008 to 2009,Forest Plantation,1536.0,1536.0,0.0,1890.0,34.0
325,2008 to 2009,Grassland,151403.0,151403.0,0.0,274425.0,10619.0
326,2008 to 2009,Mining,873.0,873.0,0.0,40.0,18.0
327,2008 to 2009,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
328,2008 to 2009,Natural Forest,703747.0,0.0,703747.0,833395.0,9.0
329,2008 to 2009,Non Observed,68.0,0.0,68.0,214.0,15.0
330,2008 to 2009,Other Non Vegetated Area,10.0,0.0,10.0,578.0,156.0
331,2008 to 2009,Pasture,319520.0,319520.0,0.0,782899.0,251660.0
332,2008 to 2009,"River, Lake and Ocean",78246.0,78246.0,0.0,98539.0,10554.0
333,2008 to 2009,Salt flat,970.0,0.0,970.0,130.0,0.0
334,2008 to 2009,Urban Infrastructure,2520.0,2520.0,0.0,10.0,0.0
335,2008 to 2009,Wetland,0.0,0.0,0.0,0.0,0.0
336,2009 to 2010,Agriculture,138308.0,138308.0,0.0,111590.0,7222.0
337,2009 to 2010,Beach and Dune,42.0,42.0,0.0,46.0,2.0
338,2009 to 2010,Forest Plantation,3312.0,3312.0,0.0,1612.0,0.0
339,2009 to 2010,Grassland,192351.0,0.0,192351.0,231700.0,50428.0
340,2009 to 2010,Mining,777.0,777.0,0.0,41.0,25.0
341,2009 to 2010,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
342,2009 to 2010,Natural Forest,100368.0,0.0,100368.0,923883.0,274831.0
343,2009 to 2010,Non Observed,36.0,0.0,36.0,218.0,10.0
344,2009 to 2010,Other Non Vegetated Area,662.0,0.0,662.0,153.0,2.0
345,2009 to 2010,Pasture,389970.0,389970.0,0.0,852507.0,124185.0
