,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
265,2000 to 2001,Other Non Vegetated Area,1495.0,1495.0,0.0,4549.0,2126.0
266,2000 to 2001,Pasture,186281.0,0.0,186281.0,234244.0,58889.0
267,2000 to 2001,"River, Lake and Ocean",42968.0,42968.0,0.0,1402.0,778.0
268,2000 to 2001,Rocky outcrop,1220.0,1220.0,0.0,916.0,13.0
269,2000 to 2001,Salt flat,12.0,12.0,0.0,40.0,32.0
270,2000 to 2001,Urban Infrastructure,11484.0,11484.0,0.0,63.0,35.0
271,2000 to 2001,Wetland,15368.0,0.0,15368.0,6756.0,3122.0
272,2001 to 2002,Agriculture,266370.0,266370.0,0.0,99541.0,890.0
273,2001 to 2002,Aquaculture,348.0,348.0,0.0,27.0,0.0
274,2001 to 2002,Beach and Dune,135.0,135.0,0.0,405.0,94.0
275,2001 to 2002,Forest Plantation,21765.0,21765.0,0.0,10825.0,2800.0
276,2001 to 2002,Grassland,11190.0,0.0,11190.0,3942.0,-0.0
277,2001 to 2002,Mining,161.0,161.0,0.0,15.0,10.0
278,2001 to 2002,Mosaic of Agriculture and Pasture,22428.0,22428.0,0.0,290659.0,264347.0
279,2001 to 2002,Natural Forest,61282.0,0.0,61282.0,105536.0,2359.0
280,2001 to 2002,Non Observed,9.0,9.0,0.0,109.0,14.0
281,2001 to 2002,Other Non Forest Natural Formation,533.0,0.0,533.0,1818.0,246.0
282,2001 to 2002,Other Non Vegetated Area,1278.0,1278.0,0.0,4567.0,1966.0
283,2001 to 2002,Pasture,261711.0,0.0,261711.0,208503.0,9413.0
284,2001 to 2002,"River, Lake and Ocean",11542.0,11542.0,0.0,1152.0,284.0
285,2001 to 2002,Rocky outcrop,489.0,489.0,0.0,1109.0,197.0
286,2001 to 2002,Salt flat,35.0,35.0,0.0,48.0,27.0
287,2001 to 2002,Urban Infrastructure,12530.0,12530.0,0.0,76.0,32.0
288,2001 to 2002,Wetland,2376.0,0.0,2376.0,6404.0,960.0
289,2002 to 2003,Agriculture,344373.0,344373.0,0.0,93939.0,533.0
290,2002 to 2003,Aquaculture,145.0,145.0,0.0,62.0,4.0
291,2002 to 2003,Beach and Dune,127.0,127.0,0.0,435.0,86.0
292,2002 to 2003,Forest Plantation,38504.0,38504.0,0.0,12487.0,318.0
293,2002 to 2003,Grassland,20109.0,0.0,20109.0,3589.0,-0.0
294,2002 to 2003,Mining,26.0,26.0,0.0,18.0,14.0
295,2002 to 2003,Mosaic of Agriculture and Pasture,403239.0,403239.0,0.0,299989.0,272898.0
296,2002 to 2003,Natural Forest,70773.0,0.0,70773.0,122325.0,2111.0
297,2002 to 2003,Non Observed,11.0,0.0,11.0,104.0,21.0
298,2002 to 2003,Other Non Forest Natural Formation,1905.0,1905.0,0.0,1603.0,325.0
299,2002 to 2003,Other Non Vegetated Area,11743.0,0.0,11743.0,3868.0,1409.0
300,2002 to 2003,Pasture,700892.0,0.0,700892.0,208315.0,9050.0
301,2002 to 2003,"River, Lake and Ocean",9079.0,9079.0,0.0,1052.0,164.0
302,2002 to 2003,Rocky outcrop,134.0,0.0,134.0,1182.0,575.0
303,2002 to 2003,Salt flat,30.0,0.0,30.0,53.0,11.0
304,2002 to 2003,Urban Infrastructure,6605.0,6605.0,0.0,88.0,14.0
305,2002 to 2003,Wetland,311.0,0.0,311.0,5987.0,1781.0
306,2003 to 2004,Agriculture,462969.0,462969.0,0.0,106645.0,4464.0
307,2003 to 2004,Aquaculture,122.0,0.0,122.0,35.0,9.0
308,2003 to 2004,Beach and Dune,511.0,0.0,511.0,505.0,72.0
309,2003 to 2004,Forest Plantation,47629.0,47629.0,0.0,7864.0,21.0
310,2003 to 2004,Grassland,13312.0,0.0,13312.0,2901.0,0.0
311,2003 to 2004,Mining,7.0,7.0,0.0,11.0,22.0
312,2003 to 2004,Mosaic of Agriculture and Pasture,135873.0,0.0,135873.0,275175.0,311437.0
313,2003 to 2004,Natural Forest,42646.0,0.0,42646.0,119268.0,2175.0
314,2003 to 2004,Non Observed,6.0,6.0,0.0,99.0,21.0
315,2003 to 2004,Other Non Forest Natural Formation,1562.0,1562.0,0.0,1861.0,277.0
316,2003 to 2004,Other Non Vegetated Area,3738.0,3738.0,0.0,3748.0,1771.0
317,2003 to 2004,Pasture,334734.0,0.0,334734.0,172215.0,6913.0
318,2003 to 2004,"River, Lake and Ocean",2141.0,2141.0,0.0,981.0,16.0
319,2003 to 2004,Rocky outcrop,722.0,722.0,0.0,1384.0,273.0
320,2003 to 2004,Salt flat,21.0,0.0,21.0,41.0,31.0
321,2003 to 2004,Urban Infrastructure,4968.0,4968.0,0.0,66.0,-0.0
322,2003 to 2004,Wetland,3476.0,3476.0,0.0,3518.0,164.0
323,2004 to 2005,Agriculture,372779.0,372779.0,0.0,96177.0,5208.0
324,2004 to 2005,Aquaculture,178.0,0.0,178.0,293.0,159.0
325,2004 to 2005,Beach and Dune,837.0,0.0,837.0,467.0,123.0
326,2004 to 2005,Forest Plantation,64104.0,64104.0,0.0,6898.0,21.0
327,2004 to 2005,Grassland,15752.0,0.0,15752.0,2133.0,0.0
328,2004 to 2005,Mining,28.0,28.0,0.0,29.0,26.0
329,2004 to 2005,Mosaic of Agriculture and Pasture,31955.0,0.0,31955.0,270304.0,342453.0
330,2004 to 2005,Natural Forest,17816.0,0.0,17816.0,117348.0,6404.0
