,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
195,1997 to 1998,Forest Plantation,4.0,0.0,4.0,2.0,0.0
196,1997 to 1998,Grassland,17542.0,17542.0,0.0,56870.0,16995.0
197,1997 to 1998,Mining,2.0,0.0,2.0,2.0,0.0
198,1997 to 1998,Mosaic of Agriculture and Pasture,67492.0,67492.0,0.0,304896.0,115007.0
199,1997 to 1998,Natural Forest,255940.0,0.0,255940.0,386261.0,4120.0
200,1997 to 1998,Non Observed,9.0,9.0,0.0,40.0,36.0
201,1997 to 1998,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
202,1997 to 1998,Other Non Vegetated Area,1952.0,0.0,1952.0,4151.0,2187.0
203,1997 to 1998,Pasture,169351.0,169351.0,0.0,321129.0,19795.0
204,1997 to 1998,"River, Lake and Ocean",8937.0,0.0,8937.0,29648.0,10084.0
205,1997 to 1998,Rocky outcrop,2441.0,0.0,2441.0,3351.0,654.0
206,1997 to 1998,Salt flat,24.0,24.0,0.0,116.0,26.0
207,1997 to 1998,Urban Infrastructure,1075.0,1075.0,0.0,10.0,0.0
208,1998 to 1999,Agriculture,128665.0,128665.0,0.0,26600.0,84.0
209,1998 to 1999,Aquaculture,163.0,0.0,163.0,71.0,189.0
210,1998 to 1999,Beach and Dune,205.0,0.0,205.0,177.0,57.0
211,1998 to 1999,Forest Plantation,5.0,5.0,0.0,1.0,0.0
212,1998 to 1999,Grassland,11542.0,0.0,11542.0,51455.0,14987.0
213,1998 to 1999,Mining,0.0,0.0,0.0,1.0,0.0
214,1998 to 1999,Mosaic of Agriculture and Pasture,122663.0,0.0,122663.0,344786.0,52860.0
215,1998 to 1999,Natural Forest,154712.0,0.0,154712.0,363327.0,15429.0
216,1998 to 1999,Non Observed,41.0,0.0,41.0,26.0,3.0
217,1998 to 1999,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
218,1998 to 1999,Other Non Vegetated Area,2477.0,2477.0,0.0,3931.0,2525.0
219,1998 to 1999,Pasture,182254.0,182254.0,0.0,298101.0,43961.0
220,1998 to 1999,"River, Lake and Ocean",28717.0,0.0,28717.0,24626.0,189.0
221,1998 to 1999,Rocky outcrop,2457.0,2457.0,0.0,2684.0,1129.0
222,1998 to 1999,Salt flat,61.0,61.0,0.0,56.0,9.0
223,1998 to 1999,Urban Infrastructure,2124.0,2124.0,0.0,15.0,1.0
224,1999 to 2000,Agriculture,70207.0,70207.0,0.0,16122.0,25.0
225,1999 to 2000,Aquaculture,1005.0,1005.0,0.0,58.0,14.0
226,1999 to 2000,Beach and Dune,388.0,0.0,388.0,240.0,61.0
227,1999 to 2000,Forest Plantation,5.0,0.0,5.0,1.0,0.0
228,1999 to 2000,Grassland,4351.0,4351.0,0.0,59166.0,18513.0
229,1999 to 2000,Mining,0.0,0.0,0.0,2.0,2.0
230,1999 to 2000,Mosaic of Agriculture and Pasture,174390.0,0.0,174390.0,399579.0,1559.0
231,1999 to 2000,Natural Forest,116547.0,0.0,116547.0,451087.0,6816.0
232,1999 to 2000,Non Observed,110.0,0.0,110.0,49.0,14.0
233,1999 to 2000,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
234,1999 to 2000,Other Non Vegetated Area,27995.0,27995.0,0.0,4881.0,681.0
235,1999 to 2000,Pasture,168742.0,168742.0,0.0,341108.0,34205.0
236,1999 to 2000,"River, Lake and Ocean",11497.0,11497.0,0.0,14785.0,1251.0
237,1999 to 2000,Rocky outcrop,3977.0,3977.0,0.0,4527.0,637.0
238,1999 to 2000,Salt flat,57.0,0.0,57.0,82.0,38.0
239,1999 to 2000,Urban Infrastructure,3724.0,3724.0,0.0,15.0,0.0
240,2000 to 2001,Agriculture,4770.0,4770.0,0.0,35324.0,3310.0
241,2000 to 2001,Aquaculture,480.0,480.0,0.0,179.0,41.0
242,2000 to 2001,Beach and Dune,499.0,0.0,499.0,259.0,21.0
243,2000 to 2001,Forest Plantation,5.0,0.0,5.0,1.0,0.0
244,2000 to 2001,Grassland,50479.0,50479.0,0.0,62876.0,845.0
245,2000 to 2001,Mining,3.0,0.0,3.0,3.0,0.0
246,2000 to 2001,Mosaic of Agriculture and Pasture,39604.0,0.0,39604.0,338096.0,40431.0
247,2000 to 2001,Natural Forest,135466.0,0.0,135466.0,323474.0,3062.0
248,2000 to 2001,Non Observed,29.0,0.0,29.0,41.0,16.0
249,2000 to 2001,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
250,2000 to 2001,Other Non Vegetated Area,12808.0,12808.0,0.0,9479.0,2057.0
251,2000 to 2001,Pasture,123075.0,123075.0,0.0,302479.0,9791.0
252,2000 to 2001,"River, Lake and Ocean",18045.0,0.0,18045.0,13393.0,2084.0
253,2000 to 2001,Rocky outcrop,406.0,406.0,0.0,5820.0,4305.0
254,2000 to 2001,Salt flat,33.0,33.0,0.0,57.0,3.0
255,2000 to 2001,Urban Infrastructure,1599.0,1599.0,0.0,13.0,13.0
256,2001 to 2002,Agriculture,39515.0,0.0,39515.0,42853.0,1011.0
257,2001 to 2002,Aquaculture,1410.0,1410.0,0.0,65.0,-0.0
258,2001 to 2002,Beach and Dune,112.0,0.0,112.0,508.0,70.0
259,2001 to 2002,Forest Plantation,1.0,1.0,0.0,2.0,1.0
260,2001 to 2002,Grassland,34387.0,0.0,34387.0,43976.0,5567.0
261,2001 to 2002,Mining,12.0,12.0,0.0,1.0,0.0
262,2001 to 2002,Mosaic of Agriculture and Pasture,96260.0,96260.0,0.0,325364.0,38869.0
263,2001 to 2002,Natural Forest,237334.0,0.0,237334.0,272631.0,3.0
264,2001 to 2002,Non Observed,31.0,0.0,31.0,59.0,13.0
265,2001 to 2002,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
266,2001 to 2002,Other Non Vegetated Area,6113.0,6113.0,0.0,13390.0,2694.0
267,2001 to 2002,Pasture,154057.0,154057.0,0.0,268441.0,5610.0
268,2001 to 2002,"River, Lake and Ocean",47072.0,47072.0,0.0,7983.0,171.0
269,2001 to 2002,Rocky outcrop,5350.0,5350.0,0.0,7139.0,991.0
270,2001 to 2002,Salt flat,83.0,0.0,83.0,77.0,15.0
271,2001 to 2002,Urban Infrastructure,1185.0,1185.0,0.0,22.0,1.0
272,2002 to 2003,Agriculture,761.0,761.0,0.0,17680.0,3451.0
273,2002 to 2003,Aquaculture,1087.0,1087.0,0.0,91.0,12.0
274,2002 to 2003,Beach and Dune,621.0,0.0,621.0,509.0,53.0
275,2002 to 2003,Forest Plantation,1.0,0.0,1.0,2.0,0.0
276,2002 to 2003,Grassland,7812.0,0.0,7812.0,49857.0,11126.0
277,2002 to 2003,Mining,0.0,0.0,0.0,2.0,0.0
278,2002 to 2003,Mosaic of Agriculture and Pasture,80627.0,80627.0,0.0,341520.0,4843.0
279,2002 to 2003,Natural Forest,172506.0,0.0,172506.0,311658.0,7178.0
280,2002 to 2003,Non Observed,40.0,40.0,0.0,60.0,16.0
281,2002 to 2003,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
282,2002 to 2003,Other Non Vegetated Area,24616.0,0.0,24616.0,4682.0,1925.0
283,2002 to 2003,Pasture,149652.0,149652.0,0.0,264092.0,2817.0
284,2002 to 2003,"River, Lake and Ocean",10333.0,0.0,10333.0,16047.0,60.0
285,2002 to 2003,Rocky outcrop,17562.0,0.0,17562.0,7657.0,302.0
286,2002 to 2003,Salt flat,31.0,0.0,31.0,76.0,55.0
287,2002 to 2003,Urban Infrastructure,1313.0,1313.0,0.0,17.0,14.0
288,2003 to 2004,Agriculture,27636.0,27636.0,0.0,29957.0,1258.0
289,2003 to 2004,Aquaculture,294.0,294.0,0.0,62.0,86.0
290,2003 to 2004,Beach and Dune,356.0,0.0,356.0,366.0,86.0
291,2003 to 2004,Forest Plantation,58.0,58.0,0.0,2.0,0.0
292,2003 to 2004,Grassland,27256.0,0.0,27256.0,54885.0,120.0
293,2003 to 2004,Mining,4.0,4.0,0.0,1.0,0.0
294,2003 to 2004,Mosaic of Agriculture and Pasture,128665.0,0.0,128665.0,314684.0,20140.0
295,2003 to 2004,Natural Forest,88808.0,0.0,88808.0,352729.0,3042.0
296,2003 to 2004,Non Observed,24.0,24.0,0.0,51.0,10.0
297,2003 to 2004,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
298,2003 to 2004,Other Non Vegetated Area,5731.0,5731.0,0.0,6217.0,885.0
299,2003 to 2004,Pasture,27141.0,27141.0,0.0,263973.0,40406.0
300,2003 to 2004,"River, Lake and Ocean",182794.0,182794.0,0.0,3429.0,320.0
301,2003 to 2004,Rocky outcrop,132.0,132.0,0.0,10168.0,2573.0
302,2003 to 2004,Salt flat,15.0,0.0,15.0,60.0,50.0
303,2003 to 2004,Urban Infrastructure,1286.0,1286.0,0.0,13.0,0.0
304,2004 to 2005,Agriculture,48900.0,48900.0,0.0,13381.0,4.0
305,2004 to 2005,Aquaculture,2195.0,2195.0,0.0,170.0,0.0
306,2004 to 2005,Beach and Dune,163.0,0.0,163.0,541.0,72.0
307,2004 to 2005,Forest Plantation,123.0,123.0,0.0,0.0,-0.0
308,2004 to 2005,Grassland,22752.0,0.0,22752.0,72890.0,2818.0
309,2004 to 2005,Mining,7.0,0.0,7.0,3.0,-0.0
310,2004 to 2005,Mosaic of Agriculture and Pasture,41480.0,0.0,41480.0,296904.0,48706.0
311,2004 to 2005,Natural Forest,63042.0,63042.0,0.0,287044.0,47758.0
312,2004 to 2005,Non Observed,38.0,0.0,38.0,42.0,16.0
313,2004 to 2005,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
314,2004 to 2005,Other Non Vegetated Area,11800.0,11800.0,0.0,7255.0,771.0
315,2004 to 2005,Pasture,49447.0,0.0,49447.0,230878.0,71865.0
316,2004 to 2005,"River, Lake and Ocean",7508.0,0.0,7508.0,11481.0,4663.0
317,2004 to 2005,Rocky outcrop,5787.0,0.0,5787.0,7772.0,178.0
318,2004 to 2005,Salt flat,170.0,0.0,170.0,79.0,37.0
319,2004 to 2005,Urban Infrastructure,1292.0,1292.0,0.0,20.0,0.0
320,2005 to 2006,Agriculture,75117.0,75117.0,0.0,10075.0,31.0
321,2005 to 2006,Aquaculture,792.0,792.0,0.0,115.0,-0.0
322,2005 to 2006,Beach and Dune,27.0,0.0,27.0,426.0,81.0
323,2005 to 2006,Forest Plantation,179.0,179.0,0.0,2.0,-0.0
324,2005 to 2006,Grassland,86894.0,0.0,86894.0,27899.0,284.0
325,2005 to 2006,Mining,2.0,2.0,0.0,2.0,1.0
326,2005 to 2006,Mosaic of Agriculture and Pasture,94388.0,94388.0,0.0,235314.0,70428.0
327,2005 to 2006,Natural Forest,148154.0,0.0,148154.0,322418.0,13577.0
328,2005 to 2006,Non Observed,17.0,17.0,0.0,42.0,9.0
329,2005 to 2006,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
330,2005 to 2006,Other Non Vegetated Area,151.0,0.0,151.0,12936.0,3758.0
331,2005 to 2006,Pasture,69827.0,69827.0,0.0,264077.0,47302.0
332,2005 to 2006,"River, Lake and Ocean",4222.0,0.0,4222.0,15528.0,733.0
333,2005 to 2006,Rocky outcrop,2667.0,0.0,2667.0,7436.0,1670.0
334,2005 to 2006,Salt flat,10.0,0.0,10.0,43.0,16.0
335,2005 to 2006,Urban Infrastructure,1803.0,1803.0,0.0,19.0,1.0
336,2006 to 2007,Agriculture,108462.0,108462.0,0.0,11356.0,36.0
337,2006 to 2007,Aquaculture,632.0,632.0,0.0,16.0,10.0
338,2006 to 2007,Beach and Dune,1321.0,0.0,1321.0,321.0,16.0
